sample_size,method,reg,numItermax,stopThr,sinkhorn_kl,exact_kl,error,rel_error,time
1000,sinkhorn,0.0001,1000,1e-09,5.4413318646175046e-08,0.04329043455718744,0.04329038014386879,99.99987430636997,0.12426972389221191
1000,sinkhorn,0.0005,1000,1e-09,1.3861142381224887e-06,0.04329043455718744,0.04328904844294931,99.99679810504952,0.1281437873840332
1000,sinkhorn,0.001,1000,1e-09,0.011881414182367947,0.04329043455718744,0.03140902037481949,72.55418130147807,0.21674704551696777
1000,sinkhorn,0.002,1000,1e-09,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,3.603043556213379
1000,sinkhorn,0.005,1000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.7638726234436035
1000,sinkhorn,0.01,1000,1e-09,0.05205818480355544,0.04329043455718744,0.008767750246368,20.25332001411454,0.8696317672729492
1000,sinkhorn,0.02,1000,1e-09,0.06059516763324985,0.04329043455718744,0.01730473307606241,39.97357211372537,0.5314364433288574
1000,sinkhorn,0.05,1000,1e-09,0.08261761581074108,0.04329043455718744,0.03932718125355364,90.8449676142699,0.2587399482727051
1000,sinkhorn_stabilized,0.0001,1000,1e-09,inf,0.04329043455718744,inf,inf,0.4490954875946045
1000,sinkhorn_stabilized,0.0005,1000,1e-09,inf,0.04329043455718744,inf,inf,0.3077840805053711
1000,sinkhorn_stabilized,0.001,1000,1e-09,4.399182768013084e-08,0.04329043455718744,0.04329039056535976,99.99989837979652,44.35893487930298
1000,sinkhorn_stabilized,0.002,1000,1e-09,4.4875530784064233e-08,0.04329043455718744,0.04329038968165665,99.99989633846081,41.620991468429565
1000,sinkhorn_stabilized,0.005,1000,1e-09,4.75801815224953e-08,0.04329043455718744,0.043290386977005914,99.99989009077407,41.67944860458374
1000,sinkhorn_stabilized,0.01,1000,1e-09,5.205818656756282e-08,0.04329043455718744,0.04329038249900087,99.99987974667592,40.323867082595825
1000,sinkhorn_stabilized,0.02,1000,1e-09,6.059516840762351e-08,0.04329043455718744,0.04329037396201903,99.99986002642609,39.49044942855835
1000,sinkhorn_stabilized,0.05,1000,1e-09,8.26176166669254e-08,0.04329043455718744,0.04329035193957077,99.99980915503042,41.4266254901886
2000,sinkhorn,0.0001,1000,1e-09,5.4413318646175046e-08,0.04329043455718744,0.04329038014386879,99.99987430636997,0.1482079029083252
2000,sinkhorn,0.0005,1000,1e-09,1.3861142381224887e-06,0.04329043455718744,0.04328904844294931,99.99679810504952,0.1662905216217041
2000,sinkhorn,0.001,1000,1e-09,0.011881414182367947,0.04329043455718744,0.03140902037481949,72.55418130147807,0.2430264949798584
2000,sinkhorn,0.002,1000,1e-09,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.454155445098877
2000,sinkhorn,0.005,1000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.9537806510925293
2000,sinkhorn,0.01,1000,1e-09,0.05205818480355544,0.04329043455718744,0.008767750246368,20.25332001411454,0.8402535915374756
2000,sinkhorn,0.02,1000,1e-09,0.06059516763324985,0.04329043455718744,0.01730473307606241,39.97357211372537,0.44890356063842773
2000,sinkhorn,0.05,1000,1e-09,0.08261761581074108,0.04329043455718744,0.03932718125355364,90.8449676142699,0.3112616539001465
2000,sinkhorn_stabilized,0.0001,1000,1e-09,inf,0.04329043455718744,inf,inf,0.43810248374938965
2000,sinkhorn_stabilized,0.0005,1000,1e-09,inf,0.04329043455718744,inf,inf,0.3253767490386963
2000,sinkhorn_stabilized,0.001,1000,1e-09,4.399182768013084e-08,0.04329043455718744,0.04329039056535976,99.99989837979652,46.55403923988342
2000,sinkhorn_stabilized,0.002,1000,1e-09,4.4875530784064233e-08,0.04329043455718744,0.04329038968165665,99.99989633846081,39.328102111816406
2000,sinkhorn_stabilized,0.005,1000,1e-09,4.75801815224953e-08,0.04329043455718744,0.043290386977005914,99.99989009077407,38.42405414581299
2000,sinkhorn_stabilized,0.01,1000,1e-09,5.205818656756282e-08,0.04329043455718744,0.04329038249900087,99.99987974667592,43.32421326637268
2000,sinkhorn_stabilized,0.02,1000,1e-09,6.059516840762351e-08,0.04329043455718744,0.04329037396201903,99.99986002642609,38.73696041107178
2000,sinkhorn_stabilized,0.05,1000,1e-09,8.26176166669254e-08,0.04329043455718744,0.04329035193957077,99.99980915503042,40.24183654785156
1000,sinkhorn,0.002,50,1e-06,0.025271267682891202,0.04329043455718744,0.018019166874296236,41.62389927154137,0.18677902221679688
1000,sinkhorn,0.002,50,1e-07,0.025271267682891202,0.04329043455718744,0.018019166874296236,41.62389927154137,0.29590654373168945
1000,sinkhorn,0.002,50,1e-08,0.025271267682891202,0.04329043455718744,0.018019166874296236,41.62389927154137,0.2543063163757324
1000,sinkhorn,0.002,50,1e-09,0.025271267682891202,0.04329043455718744,0.018019166874296236,41.62389927154137,0.28531312942504883
1000,sinkhorn,0.002,100,1e-06,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.4618339538574219
1000,sinkhorn,0.002,100,1e-07,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.5072336196899414
1000,sinkhorn,0.002,100,1e-08,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.8167316913604736
1000,sinkhorn,0.002,100,1e-09,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.46269941329956055
1000,sinkhorn,0.002,500,1e-06,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.2635927200317383
1000,sinkhorn,0.002,500,1e-07,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.192172050476074
1000,sinkhorn,0.002,500,1e-08,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.11665678024292
1000,sinkhorn,0.002,500,1e-09,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.373472213745117
1000,sinkhorn,0.002,1000,1e-06,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.644333600997925
1000,sinkhorn,0.002,1000,1e-07,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.153760671615601
1000,sinkhorn,0.002,1000,1e-08,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.452219486236572
1000,sinkhorn,0.002,1000,1e-09,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,3.645404577255249
1000,sinkhorn,0.002,2000,1e-06,0.04487558399622968,0.04329043455718744,0.001585149439042241,3.6616621090930153,4.234599351882935
1000,sinkhorn,0.002,2000,1e-07,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,6.493427515029907
1000,sinkhorn,0.002,2000,1e-08,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,7.679466485977173
1000,sinkhorn,0.002,2000,1e-09,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,7.97299861907959
1000,sinkhorn,0.005,50,1e-06,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.35698723793029785
1000,sinkhorn,0.005,50,1e-07,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.395113468170166
1000,sinkhorn,0.005,50,1e-08,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.37879443168640137
1000,sinkhorn,0.005,50,1e-09,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.27524900436401367
1000,sinkhorn,0.005,100,1e-06,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5650696754455566
1000,sinkhorn,0.005,100,1e-07,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5629169940948486
1000,sinkhorn,0.005,100,1e-08,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5665535926818848
1000,sinkhorn,0.005,100,1e-09,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.508622407913208
1000,sinkhorn,0.005,500,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,0.9566128253936768
1000,sinkhorn,0.005,500,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.521005630493164
1000,sinkhorn,0.005,500,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.5039658546447754
1000,sinkhorn,0.005,500,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.435743808746338
1000,sinkhorn,0.005,1000,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,0.985201358795166
1000,sinkhorn,0.005,1000,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.3113300800323486
1000,sinkhorn,0.005,1000,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.3402187824249268
1000,sinkhorn,0.005,1000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.4447221755981445
1000,sinkhorn,0.005,2000,1e-06,0.047578456051323804,0.04329043455718744,0.004288021494136367,9.90524012521014,1.0855276584625244
1000,sinkhorn,0.005,2000,1e-07,0.04757999664236539,0.04329043455718744,0.004289562085177952,9.908798858351407,1.914262294769287
1000,sinkhorn,0.005,2000,1e-08,0.047580161707132314,0.04329043455718744,0.004289727149944876,9.909180154516745,1.5188732147216797
1000,sinkhorn,0.005,2000,1e-09,0.04758018016370984,0.04329043455718744,0.004289745606522399,9.909222788825483,1.6501424312591553
